,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.8481,0.0,0.685,@BBCWorld,0.315,1
1,0.8481,0.0,0.685,@BBCWorld,0.315,2
2,0.5399,0.0,0.821,@BBCWorld,0.179,3
3,0.0772,0.226,0.526,@BBCWorld,0.248,4
4,0.4215,0.0,0.811,@BBCWorld,0.189,5
5,0.3612,0.0,0.783,@BBCWorld,0.217,6
6,0.0,0.0,1.0,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.5859,0.0,0.847,@BBCWorld,0.153,9
9,0.2732,0.0,0.811,@BBCWorld,0.189,10
10,0.0,0.0,1.0,@BBCWorld,0.0,11
11,-0.6908,0.343,0.657,@BBCWorld,0.0,12
12,0.0,0.0,1.0,@BBCWorld,0.0,13
13,0.6705,0.0,0.744,@BBCWorld,0.256,14
14,0.6908,0.0,0.637,@BBCWorld,0.363,15
15,-0.4588,0.3,0.7,@BBCWorld,0.0,16
16,-0.6588,0.197,0.803,@BBCWorld,0.0,17
17,0.0,0.0,1.0,@BBCWorld,0.0,18
18,0.0,0.0,1.0,@BBCWorld,0.0,19
19,0.0,0.0,1.0,@BBCWorld,0.0,20
20,-0.802,0.474,0.526,@BBCWorld,0.0,21
21,0.0,0.0,1.0,@BBCWorld,0.0,22
22,0.0,0.0,1.0,@BBCWorld,0.0,23
23,-0.8689,0.524,0.476,@BBCWorld,0.0,24
24,-0.8658,0.764,0.236,@BBCWorld,0.0,25
25,0.1779,0.0,0.805,@BBCWorld,0.195,26
26,0.4404,0.0,0.805,@BBCWorld,0.195,27
27,0.2023,0.0,0.93,@BBCWorld,0.07,28
28,-0.0772,0.085,0.848,@BBCWorld,0.067,29
29,0.2263,0.0,0.808,@BBCWorld,0.192,30
30,-0.5423,0.259,0.741,@BBCWorld,0.0,31
31,0.0,0.0,1.0,@BBCWorld,0.0,32
32,0.8439,0.0,0.687,@BBCWorld,0.313,33
33,0.0,0.0,1.0,@BBCWorld,0.0,34
34,-0.5423,0.467,0.533,@BBCWorld,0.0,35
35,0.4939,0.0,0.738,@BBCWorld,0.262,36
36,-0.3818,0.302,0.698,@BBCWorld,0.0,37
37,0.0,0.0,1.0,@BBCWorld,0.0,38
38,0.0,0.0,1.0,@BBCWorld,0.0,39
39,0.0,0.0,1.0,@BBCWorld,0.0,40
40,-0.1531,0.229,0.593,@BBCWorld,0.178,41
41,0.0,0.0,1.0,@BBCWorld,0.0,42
42,-0.34,0.28,0.533,@BBCWorld,0.187,43
43,-0.4019,0.231,0.769,@BBCWorld,0.0,44
44,0.0,0.0,1.0,@BBCWorld,0.0,45
45,0.5106,0.054,0.805,@BBCWorld,0.142,46
46,0.847,0.0,0.686,@BBCWorld,0.314,47
47,0.5859,0.0,0.513,@BBCWorld,0.487,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.0,0.0,1.0,@BBCWorld,0.0,50
50,0.0,0.0,1.0,@BBCWorld,0.0,51
51,0.0,0.0,1.0,@BBCWorld,0.0,52
52,0.0,0.0,1.0,@BBCWorld,0.0,53
53,-0.6361,0.295,0.705,@BBCWorld,0.0,54
54,0.5719,0.0,0.802,@BBCWorld,0.198,55
55,0.0,0.0,1.0,@BBCWorld,0.0,56
56,0.5859,0.0,0.78,@BBCWorld,0.22,57
57,-0.6369,0.318,0.682,@BBCWorld,0.0,58
58,0.0,0.0,1.0,@BBCWorld,0.0,59
59,-0.4939,0.314,0.686,@BBCWorld,0.0,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,0.0,0.0,1.0,@BBCWorld,0.0,62
62,0.4404,0.0,0.707,@BBCWorld,0.293,63
63,0.0,0.0,1.0,@BBCWorld,0.0,64
64,-0.4404,0.326,0.674,@BBCWorld,0.0,65
65,0.128,0.0,0.919,@BBCWorld,0.081,66
66,0.34,0.221,0.441,@BBCWorld,0.338,67
67,0.3182,0.0,0.887,@BBCWorld,0.113,68
68,0.0,0.0,1.0,@BBCWorld,0.0,69
69,0.1531,0.076,0.827,@BBCWorld,0.097,70
70,-0.4404,0.195,0.805,@BBCWorld,0.0,71
71,0.0,0.0,1.0,@BBCWorld,0.0,72
72,0.0,0.0,1.0,@BBCWorld,0.0,73
73,-0.34,0.167,0.833,@BBCWorld,0.0,74
